Nome	Ind	Bacia	BD	HL	CW	TL	AbL	PL	CPD	CPL	PdL	HD	SNL	OD	IW	AdCD	AnCD	PAdD	DL	MR
PjumbPBN9	38	PBN	5.813080757	10.81020824	8.85571433	5.799532628	7.674573095	6.9117436	2.848208958	10.92461214	14.06693689	5.635613606	5.160698487	1.984685169	2.731511566	3.324233506	5.331641522	24.37401785	6.600601694	1.087103728
PjumbPBN10	39	PBN	6.304149615	10.49804426	8.286324297	6.079007814	6.667395946	6.015514872	2.813486273	10.39691425	14.02899068	6.036048265	5.305428212	1.843252233	2.453697736	3.084028421	5.485347126	23.92499247	6.759136118	1.056316895
PjumbPBN11	40	PBN	6.558646553	10.9544846	8.654546576	5.764285334	6.5868971	6.092802281	2.839844499	10.87985233	14.44436308	5.801761017	5.379861866	1.990041527	2.581453893	3.037568062	5.410941858	24.20821771	7.632070858	1.066455508
PjumbPBN12	41	PBN	5.984997306	11.15919284	8.773758265	5.778581869	7.205504804	6.78728887	3.178019765	11.20701045	13.65070679	5.538418585	5.508370684	1.918153011	2.893354645	3.721350842	5.265984067	23.9556025	8.237075254	1.101447148
PjumbPBN13	42	PBN	6.101103493	11.40911729	9.024497756	5.630032927	7.518225089	7.05663748	3.177522984	10.15297328	13.92695734	5.542520932	5.58490417	1.855843272	2.825146085	3.611857417	5.33756536	24.23820799	8.185678718	1.071199782
PjumbPBN14	43	PBN	5.839413467	10.41927748	8.076773879	5.828431893	6.860895237	6.637472749	2.939178517	10.59769591	13.6203022	5.190189254	5.185363851	1.932004924	2.527791185	3.515279523	5.06576663	24.17360453	7.484258525	1.013874456
PjumbPBN15	44	PBN	6.590653311	10.95432653	8.448331603	5.880833776	7.251234196	7.000567303	3.141984674	11.2022502	14.61251415	5.276231743	5.459937917	1.952259487	2.670779366	3.743525593	5.412037513	24.64881204	7.734304263	1.031476453
PjumbPBN16	45	PBN	5.962134638	10.91511419	8.453915339	6.075988721	8.208512911	7.188581609	3.072284049	11.22179796	14.35142828	5.699515869	5.155253253	2.079065886	2.684171741	3.958484362	5.475359037	24.54878372	7.693012233	1.071914811
PjumbPBN17	46	PBN	4.597977114	10.63354514	8.230863848	5.236534252	6.701420114	5.810257315	2.910194721	10.17528898	13.56426212	4.42896383	5.355935112	1.732591161	2.739679738	3.251212027	5.168811001	23.58810746	7.604095074	0.806242561
PjumbPBN18	47	PBN	4.52064431	10.82230806	7.831245024	6.009815264	7.603401336	6.248535323	2.917606249	10.82581803	13.06160098	4.549119612	5.337178616	1.864186239	2.829318462	3.695665511	5.108515466	23.26400778	7.541665841	1.061480655
PjumbPBN19	48	PBN	5.107052726	10.01103485	6.889171938	6.576834058	7.26052182	6.563148163	3.026568938	10.13290301	13.38516958	5.249071196	5.176014856	1.804539886	2.466986061	3.964039415	4.237606321	23.44870457	8.07381624	1.233413441
PjumbPBN20	49	PBN	3.547485548	10.24354261	7.613989898	7.044498819	6.688504841	5.980884629	2.745072081	11.02557862	13.47538878	4.856357443	5.066210577	1.524754654	2.58947704	3.706295405	5.158715199	23.56988717	7.630158505	0.928422451
PjumbIPO1	70	IPO	7.264521635	11.62871157	8.947410104	6.57499936	8.420558495	5.951550873	3.321440361	12.79380339	15.25955401	6.758583826	6.427007748	1.640503994	2.54571319	4.025716109	5.054376376	27.7489778	5.7516635	1.5764348
PjumbIPO2	71	IPO	7.30372632	11.9013042	8.668236555	6.415116405	8.408654031	6.101093192	3.553034245	13.17158675	15.19502961	6.48269642	6.634861041	1.813203689	3.177466983	4.269207322	5.791671694	27.85341645	6.663743563	1.539687234
PjumbIPO3	72	IPO	5.555949064	11.46981606	8.101096316	5.600005769	8.639548271	5.468841151	3.138680957	13.01963726	14.91527059	5.899345978	5.826672931	1.806337371	2.597655272	3.811705961	4.931314666	26.99355335	6.943791243	1.846107335
PjumbIPO4	73	IPO	8.473191025	12.26361303	9.806982225	6.622988784	9.342596663	6.206949555	3.284495587	12.28337919	16.16163578	6.558726643	6.214735232	1.999934138	2.492713169	4.183725322	4.849038634	29.01382111	7.331119126	1.610526777
PjumbIPO5	74	IPO	7.323031993	11.23725321	8.9433454	6.716235953	8.683017597	6.145005581	2.925921132	12.98328895	15.65030582	6.350452569	6.154600627	1.529531244	2.531440141	3.234977585	5.146141291	27.71566463	6.8193711	1.649354216
